year,month,day,hour,wspd,forecast
2009,9,12,4,5.416999817,5.554078323
2009,9,12,5,2.433000088,6.59127358
2009,9,12,6,2.967000008,5.650655298
2009,9,12,7,3.667000055,4.026354822
2009,9,12,8,3.816999912,4.033216681
2009,9,12,9,2.967000008,4.313081059
2009,9,12,10,6.032999992,4.572777148
2009,9,12,11,5.232999802,4.031406131
2009,9,12,12,5.367000103,6.207254132
2009,9,12,13,7.282999992,5.621101632
2009,9,12,14,5.599999905,5.629084497
2009,9,12,15,5.267000198,7.038834766
2009,9,12,16,5.816999912,5.89948432
2009,9,12,17,4.699999809,5.625772737
2009,9,12,18,3.799999952,5.961609369
2009,9,12,19,4.566999912,5.393111023
2009,9,12,20,4.699999809,4.576223708
2009,9,12,21,4.25,5.151776503
2009,9,12,22,3.367000103,5.388854288
2009,9,12,23,4.416999817,4.837068073
2009,9,13,0,1.23300004,4.190697122
2009,9,13,1,3.066999912,4.952579941
2009,9,13,2,3.717000008,3.492755481
2009,9,13,3,4.083000183,4.044853095
2009,9,13,4,4.717000008,4.37602611
2009,9,13,5,6.532999992,4.750011088
2009,9,13,6,6.882999897,5.389949263
2009,9,13,7,4.982999802,6.583557436
2009,9,13,8,5.032999992,6.665088961
2009,9,13,9,5.782999992,5.557750409
2009,9,13,10,4.467000008,5.56367582
2009,9,13,11,4.717000008,5.959309462
2009,9,13,12,3.51699996,4.961806818
2009,9,13,13,3.532999992,5.392400441
2009,9,13,14,2.73300004,4.264879817
2009,9,13,15,3.200000048,4.263755622
2009,9,13,16,5.217000008,4.025650543
2009,9,13,17,7.732999802,4.043555877
2009,9,13,18,9.479999542,5.616856807
2009,9,13,19,8.880000114,7.35275382
2009,9,13,20,7.75,9.0067401
2009,9,13,21,7.316999912,8.171969829
2009,9,13,22,7.367000103,7.360435771
2009,9,13,23,6.467000008,7.043030985
2009,9,14,0,10.66699982,7.065849493
2009,9,14,1,6.232999802,6.453349385
2009,9,14,2,7.382999897,9.909551197
2009,9,14,3,5.583000183,6.254326322
2009,9,14,4,3.832999945,7.065554438
2009,9,14,5,4.267000198,5.899842955
2009,9,14,6,3.632999897,4.581467035
2009,9,14,7,5.232999802,4.839962558
2009,9,14,8,5.982999802,4.266723904
2009,9,14,9,10.64999962,5.61794478
2009,9,14,10,10.91699982,6.20074971
2009,9,14,11,4.050000191,9.903394942
2009,9,14,12,3.400000095,9.935656332
2009,9,14,13,5.517000198,4.73034239
2009,9,14,14,11.21700001,4.256976716
2009,9,14,15,9.017000198,5.884705577
2009,9,14,16,7.767000198,10.26719957
2009,9,14,17,7.933000088,8.188727948
2009,9,14,18,7.916999817,7.360140717
2009,9,14,19,7.083000183,7.422352825
2009,9,14,20,7.25,7.415861598
2009,9,14,21,6.566999912,6.924562175
2009,9,14,22,5.382999897,7.03868351
2009,9,14,23,5.382999897,6.592347468
2009,9,15,0,4.833000183,5.632689189
2009,9,15,1,7.566999912,5.630304847
2009,9,15,2,9.217000008,5.439056269
2009,9,15,3,9.416999817,7.301460024
2009,9,15,4,6.632999897,8.491959132
2009,9,15,5,6.550000191,8.951188896
2009,9,15,6,9.282999992,6.600493841
2009,9,15,7,7.967000008,6.592347468
2009,9,15,8,7.416999817,8.506559402
2009,9,15,9,7.416999817,7.423476636
2009,9,15,10,8.949999809,7.078550252
2009,9,15,11,8.682999611,7.078550252
2009,9,15,12,8.883000374,8.172135437
2009,9,15,13,9.25,8.048078734
2009,9,15,14,13.4829998,8.171969829
2009,9,15,15,17.31699944,8.499774855
2009,9,15,16,19.20000076,12.48540131
2009,9,15,17,21.21699905,15.85568569
2009,9,15,18,23.86700058,17.463928
2009,9,15,19,26.35000038,18.34069179
2009,9,15,20,27.66699982,18.34045555
2009,9,15,21,28.53300095,18.33285641
2009,9,15,22,27.7670002,18.33285641
2009,9,15,23,28.16699982,18.33285641
